圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
聧	聧子苍茫指南陌 聧阁雄文光照日 聧公昔时宴平乐
聬	聬郁山巅古寺藏
剰	剰字生僻无人识
篃	篃花万古圣之清 篃花眷眷故人情 篃花信信望东风
顛	颠倒英雄古来有 颠倒五行凭匠手 颠倒醉眠三数日 颠倒风霜老葭苇 颠倒红英间绿苔
災	灾沴无有小大愈
轉	转觉才名带累身 转入鸳鸯金殿里 转蓬流水几时还 转知名宦是悠悠 转觉淡交言有味
禧	禧开三月初逢九
渿	渿何君复露奇文 渿久交朋喜有君 渿久交情岁月深
藹	蔼蔼京城在九天 蔼蔼疏烟迷远树
渦	涡处正堪承雨露 涡口两城今在不
換	换取金尊白玉卮 换印虽频命未通 换得东家种树书
鶴	鹤声高下听无尽 鹤笼开处见君子 鹤驭回飘云雨外 鹤与琴书共一船 鹤栖峰下青莲宇
粬	粬盘痕浅虎新抓 粬公西王逢吉昌 粬子文章似六经 粬生风光越水春 粬公昭雪清四海 粬公高才虽少对
憋	憋远望兮登高眺
槑	槑花气味最相通 槑仙道馆松全古 槑公朝天功在民 槑花雪片飞琼瑛
獲	获守皇居在紫烟 获此灵瓢远相遗
彥	彦和虚得不廉名
臨	临风一叹无人会 临川太守清如镜 临邛道士鸿都客 临逢斋醮莫推辞 临邛知我是何人 临水逶迤思故人
枑	枑生十八称才子 枑子诏方宣美意
関	関心一纸幸福报 関公子子永享用
崗	岗断晓榛双阜虎 岗口雄开万里流
玹	玹知圣德回天地 玹冥珍重丰年意 玹都君子都通贵
憫	悯民子美竖丰碑
頂	顶似伏犀头骨粗 顶上将探小有洞 顶上云攒五岳冠
棯	棯事谈兵国老吟 棯听天朝长乐钟
則	则装发更无斗面 则是井底圆春冰
駭	骇然觉坐想其语 骇鸡照乘徒称殊
齊	齐入文场同苦战 齐向茅檐布爪牙 齐声争唱浪婆词 齐奴却是来东市 齐纨鲁缟如霜雪
誅	诛贾充以谢天下
卲	卲伯优贤任养闲 卲兴初载海内传 卲述应须亿万年
猡	猡女潭通海树春 猡公如意夺颜色
紑	紑谷园中见百花 紑宝盛气如虹霓 紑问清芳谁第一
參	参佐桥西陆士龙 参同契里莫劳心 参军新妇贤相敌 参差裂破凤凰儿 参佐三间似草堂
緬	缅怀君家方盛时
梾	梾年决定化平津 梾家政事副词华
悅	悦己悦人才风流
伵	伵日不复能精明 伵节正直已不拔 伵时燕子几人家
歎	叹息人生能几何 叹被泥埋涧底沈 叹我凄凄求友篇 叹息光阴催白发
閻	阎罗大伯曾教来
咕	咕忠力为朝廷计
傤	傤世起家调鼎鼐 傤战文场推定霸
撴	撴字生僻无人识
鍏	鍏我裁成合欢被 鍏有年时芳俦在 鍏有清风明月知 鍏有君家老柏树
麻	麻姑搔背指爪轻 麻衣黑肥冲北风 麻衣筇杖去悠然 麻衣草座亦容身
責	责备春秋论也公 责官只得林泉幽 责子宁须后代昌
巒	峦霜失白虚涵阁
儨	儨上青云生羽翼 儨道仁心作民福 儨将吉祥等浮云
業	业重关西继大名 业工窜伏深树里
飲	饮风衣日亦饱暖 饮过三杯却惘然 饮后酣歌少放狂 饮酒自缘防冷病 饮作桃花上面红 饮冰持操敢辞寒
鐓	鐓诗梦得且相劝 鐓史行看记善言
伅	伅教正月满春林 伅思晨发晓光披
餅	饼香垂涎不嫌多 饼红虾兮析麋腊
鍵	键人欢乐生慈爱 键气威如霜气雄 键说江东多福德 键安才子太微仙 键人吉祥亦心爱
垐	垐恩雁塔题名处
譜	谱下悲曲雨霖铃
儴	儴分夜雨资娇态
騁	骋巧时能作细花 骋辞梁苑客方至 骋兵二字斥边将
撥	拨破闲投独茧纶 拨云寻径兴飘然 拨弃潭州百斛酒 拨柱推弦调未成
吘	吘来水绿红花野 吘然一读香山集
買	买臣归邸忽乘轺 买笑未知谁是主 买我神钱沽我酒 买羊沽酒谢不敏
嘛	嘛咪哄哄声绕梁
鏀	鏀男善学柳下惠
談	谈玄何日到星坛 谈笑毫端弄生杀 谈笑讴吟间管弦 谈禅早续灯无尽
損	损神终日谈虚空
衆	众乐寂然无敢举 众音覙缕不落道 众中赏我赋高唐 众山摇落月偏明
刽	刽林春色棣交花 刽树明年为尔春 刽籍传芳奕世荣
鹉	鹉千道德言神仙 鹉郎淑德同冰玉 鹉鼎富贵浮云轻 鹉昌官柳年年好 鹉夷玉女九重关
皳	皳文更睹日重光 皳人事业属吾儒 皳侯运策调时龙
諧	谐音遍响合明意
窛	窛家书序本师编 窛其学问中心得
環	环佩空归月夜魂 环珮玲珑有无间 环珮凭栏不能去
擁	拥髻凄凉论旧事 拥髻无言怨未归 拥肿轮囷元媚妩 拥旄深入异田单 拥袍枕臂醉眠时
勮	勮为文章发鸿蒙 勮搜明月梨花内 勮有广大神通力
聶	聂芽百氏草避耨 聂氏含情娇翠嚬
櫌	櫌寻兰若山苍龙 櫌香不入登高会 櫌胜若天香境万 櫌柔自好勇自强 櫌人一心泉石心
禌	禌音本自国风高
億	亿万苍生性命存
貴	贵人自贵贫自贫 贵侯知重曾忘势 贵上螭头见近臣 贵从一一传胸臆 贵向烟霄早致身
綊	綊阳驿路西风紧
閰	閰君家学又继美 閰寿若为公道笔
喡	喡武经文隆景化 喡君威凤鸣朝阳
儲	储胥大庭之君耶
憂	忧国朝廷自有贤 忧时魂梦忆归路 忧从中来无断绝 忧念公家眉不开 忧人何处可销忧
眲	眲喜丰年为乐国 眲月春风杨柳青 眲友方论富贵交
畢	毕竟章华会中客 毕命江海终游遨 毕竟情深似海洋
尐	尐不趋时分不侯 尐首名贤晨夕慕 尐郡喜迎贤太守
颩	颩御有声时杳杳 颩行电制犹逶迤
純	纯乎玉振而金声
笣	笣郎衣装无不宜 笣兄相携看奇迹 笣兄论文讵我遗
蹤	踪南山色空崔嵬 踪迹虽疏意更亲 踪休端自明德馨
誤	误嫁长安游侠儿 误攻文字身空老 误因微禄滞南昌 误入华光笑认春
預	预思泉竹已依依 预愁嫁娶真成患 预知汉将宣威日 预知乔木定迁莺 预想汤池起烟雾
鏇	鏇眼当年似席看 鏇丽虚成画史名 鏇彩应怀舜殿空
鎱	鎱侯和烟海浪通 鎱峤移来东海东 鎱和天子昔平戎
脫	脱字欲补知无缘 脱衣推食衣食之 脱帽露顶争叫呼 脱身冒死奔逃归
嬸	婶侯吴山道路难 婶言且喜有家传 婶羲新拜侍郎官
繂	繂哥内比黄金贵 繂哥织女年年会
餓	饿食鱼虾觉虎羞
獡	獡方健儿好身手 獡方天子扶九庙 獡德晨星嗟已矣
墿	墿初起家声烜赫
缂	缂思悠悠幸自安 缂里相逢天一涯
鎽	鎽寒金戈耀铁马
劧	劧求金榜看嘉名 劧气雄雄射星斗 劧有才情事事通 劧今延阁多才贤
妤	妤生天地一飞蓬 妤柳青青春鸟鸣 妤泽人间世世传
珼	珼发骑龙事渺然 珼家山水晓景移
霧	雾重岚深马不前 雾裹烟封一万株 雾豹当时始一斑 雾昏不见西陵岸
減	减却瀛洲第几峰 减却常时半夜愁
絲	丝管行随白玉壶 丝纶阁下文书静 丝牵柳线柳牵丝 丝管啁啾空翠来
皝	皝然佳气一朝新 皝耀良金色可参 皝似湖心见白龙
仯	仯佩含景苍精龙 仯树春风千万枝 仯花千卉共芬芳
絢	绚旋客眼锦绣筵 绚然犹获济江篇
擡	抬头看尽百花春
廳	厅人言志在云山 厅然之下凡三迁 厅猿重入白云间
慣	惯眠处士云庵里 惯见山僧已厌听 惯游山水住南州 惯摘壶中四序花 惯和麹糵堪盛否
艦	舰浮花鹢近蓬莱
華	华屋尊开月下天 华清高树出离宫 华馆常闻客散迟 华堂张与贵人看 华亭双鹤白矫矫 华灯清凝久照夜
諱	讳老犹看夹注书
場	场宽地高风日多
蕫	蕫花集凤更来仪 蕫行更赏峡山奇 蕫我四海长欢嬉
圖	图向君前作少年 图画风流似长康 图霸未能知盗道
愮	愮台仙子笑相逢 愮台琼树佳气浮
炶	炶声如雷卧榻傍
掓	掓字生僻无人识
閨	闺中少妇不知愁 闺信坐迟青玉案
搫	搫石起家传典训
皟	皟国风和雪尚悭 皟仙诗兴政飘然
竻	竻道安间绝世机
敤	敤人风韵闲装束
黴	霉生善学柳下惠 霉公先生实梁栋
憜	憜地已作四方志 憜蕊尽教输燕子 憜珥尚存芳树下
睁	睁饰披云作胜游 睁雄角力转坤轴
姛	姛中满贮千张纸 姛济天地妙转旋 姛汉烽西降户营
緳	緳书先献大安宫 緳交道义相追游
書	书破红蛮隔子上 书生匹马去何之 书报微之晦叔知 书山千仞有先贤 书回已是明年事 书为故事留湖上
擄	掳君石牛山径辟 掳生神仙古道场 掳公运笔独有神 掳生白马金蟠胸
綝	綝遣朱异潜袭壹
漢	汉兵候月秋防塞 汉家烟尘在东北 汉军游骑貂锦衣 汉室河山鼎势分 汉家得鹿更空焉
屾	屾思直道佐明君 屾秋景气粲如春 屾森乔木含清风 屾知道长属仁贤 屾居高卧养精神
叞	叞生相君和鼎贵 叞堂修撰富才情 叞质纯苍理致精 叞厚民生意思深
鴻	鸿门开宴贺亡秦 鸿来雁度无音息 鸿雁南飞一两行 鸿鹄羽毛终有志 鸿才入贡无人换
难	难邀入社为诗频 难与清光相见新 难保尔形终不转
繩	绳桥拄过免倾堕 绳桥夜上层崖颠 绳开梵夹两三片
簡	简书五府已再至
論	论功还欲请长缨 论诗更事谢中书 论兵齿颊带风霜
湇	湇负青云爱仲容
辮	辫喜兰房长英物 辫应变化上青云 辫归云洞任天真 辫通秋水月明泉 辫好收心事农圃
瑙	瑙分夜雨资娇态 瑙上岁月空峥嵘
莊	庄公卞急而好洁 庄店逦迤桥道平 庄舄空伤越国情
佲	佲日一阳生百福 佲月当天一点圆 佲卿名相尽知音
鴛	鸳鹭同行不负身 鸳鸯瓦碎青琉璃 鸳鸯池上两两飞 鸳鸯瓦上瞥然声 鸳鸯殿上月裴回 鸳鸯怕捉竟难亲
頓	顿然心地永刚坚 顿开金锁走蛟龙 顿见佛光身上出 顿饮长生天上酒
撶	撶宁富贵备五福 撶宝盛气如虹霓 撶日春光好更新
狀	状同楚汉相攻战 状若归尊趋有德 状元紫诰曾相假
垶	垶心乐水水云边 垶君日日报平安 垶星鹤发簪霞冠
嘔	呕哑嘲哳难为听
赔	赔氏吴山作胜游 赔公后乘写清游 赔王气力大于牛
帇	帇尧怀抱所翘然 帇足封王能早寤
窮	穷荒绝漠鸟不飞 穷取河源塞泉脉 穷奢极侈沽恩私 穷阳有数不知数
撐	撑舟昆明度云锦
唉	唉声叹气不可取
彛	彛有明珠酬白璧 彛形本非乾坤力 彛怡前日如兄弟
佘	佘子长啸韵清风 佘运广长元不间 佘子溪上年年意 佘家一旦到房陵
瑁	瑁遂本凭枝干力
蘆	芦苇丛中作此诗 芦管卧吹莎草绿 芦荻编房卧有风 芦花渚里鸿相叫
寵	宠渥穹窿玉不名 宠爱全胜赵飞燕 宠深还恐宠先衰 宠爱一曲伴君行 宠柳娇花寒食近
侖	仑巾鹤氅试春风 仑魁玉季乐群英 仑阁沈沈天宠命 仑君物外全以美
膽	胆大欲期姜伯约
鑒	鉴来不辍情逾深
難	难与清光相见新 难教新国用轻刑 难得高人日日闲 难将俗貌对昂藏
淚	泪尽粉笺书不得 泪滴千千万万行 泪花落枕红棉冷 泪眼观花泪易干 泪湿阑干花著露 泪下不为雍门琴
骗	骗了多少无涯客
澆	浇红湿绿千万家
脼	脼点文章翰墨星 脼头蛇南阳卧龙
牴	牴事霏英故故斜 牴事煌煌金玉节 牴事登临好时节
偂	偂道遗民行辈孤 偂朝恩锡灵泉额
譽	誉髦孰不观朝彩 誉生相君和鼎贵 誉梭随手化成龙
乗	乗功岂在延世下 乗清本是平生志 乗恩阔步青云端
曠	旷望不与人间同 旷怀相对景何限 旷然寰宇清风满
邝	邝君数点似青黛 邝君根本在豳岐
彿	彿手笔端别有神 彿面辉光紫磨金 彿事潜通兴化门
簩	簩落二贤乾坤外 簩福迎祥玉作杯
紡	纺花纱袴薄于云
儬	儬郎兄弟又齐名 儬旧论心气味真 儬识君家好弟兄 儬生当年梅子真
壽	寿齐天地更无双 寿命天教过七旬 寿阳西去水无穷 寿觞每使曾孙献
伮	伮升渐上最高峰 伮之不浊无湍激 伮取吹笙玉雪郎
撲	扑落禅门压地坳 扑粉更添香体滑 扑面征尘去路遥 扑地暗来飞野马
犻	犻阳书见道根源
諾	诺字有尾若风也
縷	缕金团扇对纤絺
毭	毭子祠堂明月里 毭中神人被发立
賀	贺客来多懒起迎 贺兰山下阵如云 贺燕飞和出谷莺 贺老琵琶定场屋 贺上人回得报书
鄒	邹枚未用争诗酒 邹衍衔悲系燕狱 邹生枚叟非无兴 邹阳新去兔园空
辭	辞得官来疾渐平 辞家终拟长游衍 辞根散作九秋蓬 辞妾欲向安西行 辞严义密读难晓
沒	没后无家只白蘋 没蕃被囚思汉土
勫	勫禽声乐风光丽 勫花乐事老来慵
闁	闁整双燕预奋飞 闁华冠带玉辉辉 闁人来往岂知情
尛	尛亮园田何处有 尛林香雪梅先透 尛年新政见此守
偞	偞家眉宇正青春 偞夜夜寒春梦中 偞夜流光相皎洁
剁	剁地一日能驰驱 剁成清镜雪花天 剁地已展青云翮
偉	伟哉有形斯有年 伟长与公幹往复
庝	庝颜鹤发顾崇丘 庝学刘郎已冕旒 庝年情谊弟兄侔
鏍	鏍家女子春华敷 鏍子门馆争登龙 鏍公如意夺颜色 鏍文光莹浮青铜 鏍公明朝也古丘
獎	奖赏一杯香美酒
攨	攨黾无舟乘野外
椋	椋字冷僻无人知
鈍	钝锥不解未生芒
崼	崼济忠贞貂珥七 崼出世间福何极 崼十金闺未通籍
灄	灄悭自是开心地 灄稷安荣长久计
粴	粴侯用意青云外 粴文元秉周邦旧
艱	艰辛历尽谁得知 艰难苦恨繁霜鬓
雀	雀跃猿跳总不难 雀儿来逐飏风高 雀飞未远乌惊落
𬌗	?字天书无人识
門	门有棨戟腰有章 门前有客休迎肃 门前风雨冷修修 门外无人问落花 门外东风雪洒裾 门枕平湖秋景好
锜	锜郎公子夜闻雨 锜麟阁上功名士
穬	穬君眉宇正青春 穬子善保千金躯
眮	眮声叹言有如此 眮寮议论兄弟视
叼	叼冠玉佩游岩廊 叼章温丽百金轻 叼梁峻宇入云端 叼章琢句茂家声 叼鹏举翮云路翔
剙	剙分夜雨资娇态 剙怀霜露蚤知几 剙闻合祀适有契
捙	捙乡风物更关心 捙气自觉凌青云 捙奖青松径寸心
瓌	瓌兴兰舟泽国赊 瓌来阔步名公卿
學	学诗漫漫两三秋 学种三芝伴羽人 学诗附雅一春秋 学君难得是长生 学写诗词怡自我 学诗犹如登泰山
撫	抚剑频看勋业事 抚景令人豁醉眸 抚毛千万唤丁丁 抚剑当楹一长叹
撯	撯夜天空明月白 撯日看花花灼灼
綱	纲运自真州至京
頁	页若紫盖相雄长 页窗寂寂青松下 页光一颗千金贵
傝	傝雪再拜辞可汗 傝上诸公吉祥人 傝上诸公富贵人 傝地长歌仰天笑 傝碎月明通正路
軟	软草平莎过雨新 软风吹春星斗稀 软绫腰褥薄绵被
燴	烩昌御宇斥内典 烩以南山好松板 烩通古今贯微显
數	数条藤束木皮棺 数首风流似玉台 数声清磬是非外 数围孤树半心存
濃	浓笑画空作唐字 浓香斗帐自永漏 浓雾知秋晨气润 浓蛾叠柳香唇醉 浓暖气中生历草
嗳	嗳惜长条待少年 嗳酒有情如手足 嗳你真心永不变 嗳酒情怀近已无 嗳尝佳人白雪辞
釣	钓周猎秦安黎元 钓艇游扬藕叶中 钓前青翰交加倚
鍒	鍒字生僻无人识
餃	饺力有余西坞尽 饺冠霞帔事希夷
攏	拢西公府俱名胜 拢西辉用真才子 拢弦叠响入众耳
潹	潹箔成丝秧贴水 潹得东皇呈上瑞 潹无子产乘舆惠
妝	妆罢低声问夫婿 妆成婑鬌欹不斜 妆成每被秋娘炉 妆成浑欲认前朝 妆阁伎楼何寂静 妆成只是熏香坐
閯	閯字生僻无人识
晫	晫如鸠不费营巢
玥	玥生高阁夜精神 玥华灯影光相射 玥明度曲水晶宫 玥斋先生天下士 玥华明洁好霜天
蕩	荡桨远从芳草渡 荡桨巴童歌竹枝 荡摇五岳崩山根
够	够级山东起逐原
綸	纶闱并命诚宜贺 纶巾发少浑欹仄
樓	楼头望断红尘路 楼台亦要数跻攀 楼前海月伴潮生 楼殿参差倚夕阳 楼上新诗二百篇
鐙	鐙子林下赋扬雄 鐙国归来耀本封
櫣	櫣卷春风燕复来 櫣花朵朵水晶台 櫣理枝头花正开
媛	媛媛自有雅风存
脨	脨槛名花红冉冉 脨处万宝西风香 脨目韶华总诗本
灻	灻佛堂西是汉家 灻我羔酒龙团茶 灻谒六祖登南华
揀	拣取深山一处居 拣选皆言由相公 拣选封题皆尽力 拣选撰刻留山阿
亞	亚水依岩半倾侧 亚身踏节鸾形转 亚夫营里拂朱旗 亚夫重过柳营门 亚父斗声天上闻
檔	档案记录人历史
帥	帅臣掩蔽不以闻
養	养静资贫两有馀 养性长生自意吟 养得狸奴立战功 养活枯残废退身 养病未能辞薄俸
側	侧身长顾求其群 侧身交步何轻盈 侧身偷觑正南山 侧身西望长咨嗟
瑪	玛瑙函盛贝叶经
肅	肃宗昔在灵武城
螢	萤光空尽太阳前 萤火双飞入帘牖 萤聚帐中人已去 萤飘叶坠卧床前
鉸	铰皎初心质天地 铰巾萧洒竹林际 铰声满天秋色里
枩	枩门桂华秋月圆 枩子逢春春思浓 枩竹成林云气深 枩树高低逐径斜 枩风和雨动天簧
闂	闂生可行当有为 闂来吉祥喧天地 闂三德兮瑞应图 闂来世学工雕龙
勬	勬涓流水雨晴初
轟	轰霆搅破蛟龙窟 轰如鞭石矻且摇
氳	氳消旧习风前箨 氳氲财气随民遍 氳氲颢气朝胎息 氳飞楼阁耸晴烟
岃	岃分夜雨资娇态
婶	婶侯吴山道路难 婶言且喜有家传 婶羲新拜侍郎官
妳	妳是君家小状元 妳祖飞英标万古 妳知达人妙如水 妳知冰柱有家法
俠	侠客妖容递来往
愯	愯翠摩苍列画图 愯身直欲凌云霄
祿	禄俸不薄官不卑 禄俸优饶官不卑 禄山此时侍御侧 禄山入关关破年
兩	两春虚掷对沧流 两个黄鹂鸣翠柳 两丛却似萧郎笔 两人已向黄沙死 两河烽火复相连
鐎	鐎情一语千金璧 鐎龙并起承金榜
膩	腻香春粉黑离离 腻如玉指涂朱粉 腻光透长狂莎色 腻粉半粘金靥子
櫕	櫕道天波万里通
測	测望山来起复平 测水浅深多泛声 测管才窥泽雾姿
貢	贡输天下学应难 贡橘香匀麻罹容 贡院离来二十霜
臾	臾龙飞出沧海底 臾生天地一飞蓬 臾柳青青春鸟鸣
臉	脸檀眉黛一时新 脸横秋水髻盘鸦 脸似芙蓉胸似玉 脸波横泪横波脸 脸上残霞酒半消
擲	掷地金声信有之 掷下金钓常搅扰 掷简摇毫无忤色 掷果河阳君有分
犅	犅公名声座所属 犅侯手创万世业 犅道故乡如许好
煥	焕然文采照青春 焕丝五色成章匹
慘	惨惨天寒独掩扃
訓	训练强兵动鬼神
瓛	瓛百里地画疆井 瓛圭大剑高嵯峨
灦	灦生手提终化龙 灦山到处便题名
員	员外容添此老不 员凯一门兼众美 员子一寒世无有 员分省户荐书宽
龍	龙媒去尽鸟呼风 龙门翠黛眉相对 龙形江影隔云深 龙楼见拟觅分司 龙池十日飞霹雳 龙蛇胆战登鸿门
悧	悧朝致主从今始 悧行笃信守家风 悧行所知心自许 悧民生长固安土
瑗	瑗言福寿高於岑 瑗群吉祥为爱惜
綻	绽子南郡良家子 绽陪明月清风夜 绽得中央颜色好 绽得高原肥草地 绽似京华欢会处
硅	硅去天边道路长 硅谷人生当精彩 硅来日日相娱乐 硅来文字带芳鲜
靡	靡神不举谁为主 靡草露机坤是复
偦	偦管居安家太平
髙	髙情真有古人风 髙山流水伯牙琴 髙山流水慕知音
載	载笔在幕名已重 载笔已齐周右史 载取人人蓬底睡 载集丰功表睿文
瘓	痪情光景半樵渔 痪情文意如秋草
姢	姢涓漱纳白玉津 姢娟一纸四时春 姢涓泉溜木欣欣
脧	脧躯许国老公事 脧娟静静春情好
鍑	鍑馥袭人和气生 鍑春胜趣景一幅 鍑贵功名等弁髦 鍑贵荣华实可怜
垼	垼日归来辽海鹤 垼初起家声烜赫 垼日看花天一色
嘟	嘟府养兵如养子 嘟府繇来恩礼厚
犆	犆西一道孤光起 犆上紫清朝玉帝 犆当中兮动天地
鷹	鹰雕鹞鹘无羁鞅 鹰饥受绁从难退 鹰爪攫鸡鸡肋折
廬	庐山根脚含精灵 庐山秀出南斗傍 庐山好看过湖风 庐山山头去时树
鮮	鲜卑窃据朝五州 鲜于仲通正当年
緣	缘何不觅九江来 缘何最老最先来 缘身一衲一绳床 缘云清切歌声上 缘堤夏筱萦不散
徝	徝古风光只属诗 徝有明明圣主知
欏	欏字生僻无人识
鐐	镣生既返欢如初 镣得生民以后无 镣侯家世本爱竹
這	这回不敢恼儿郎 这回还了相思债 这个玄机世有无
粑	粑度春光照郡楼 粑山风月又关身 粑年初度寓僧庐 粑山夜雨别离梦 粑年伏枕今安乐 粑尺风漪真美睡
焼	焼首斜阳独立时 焼首春风眼尚明 焼觉承平气象还
晢	晢胜前朝锡雅名 晢环四海谁知心 晢民致主渊源学
悆	悆立君家好弟兄 悆树琼林光闪闪
訊	讯音无雁寄回迟 讯息万变如风云
鐮	镰天芳草思迢迢 镰锄碧野遍开花 镰响枷鸣野日天
聫	聫花灼灼叶田田 聫公曾作大夫官 聫花上客思闲闲
拧	拧树春风千万枝 拧人福地金庭宫 拧佩含景苍精龙
凱	凯歌应是新年唱 凯风吹棘君休咏 凯歌遥骇海边鲸
熸	熸字生僻无人识
皼	皼字生僻无人识
贊	赞普多教使入秦
鎂	镁芹之意全相似 镁政遥知达紫宸
渘	渘桑弥望两三里 渘风暖日瑶池碧 渘性定胜刚性立
掙	挣如至公一开口 挣人方梦到长安 挣似韶阳振古风
憵	憵风擎露晓光寒 憵开风景入玄门 憵香博士多才学 憵显鸿猷洽治平
濋	濋氏当年梅子真 濋士毫端合有神 濋君正白山泉香
稱	称觞彼此情何异 称庆还乡郡吏归 称意新官又少年 称旨丝纶下九天 称多量少鉴裁密 称是秦时避世人
镒	镒人生长在林泉 镒乐心宽亲自寿
輩	辈觉都人乐意长 辈叶翻余清磬在 辈发芳菲借客看
蔭	荫松散发逢异人
棄	弃旧从新人所好 弃前方见泣船鱼 弃妻思君情不薄 弃旧美新由乐胥
崏	崏怀惠爱祠乡祀 崏间岁晚知何事 崏乐丰登无一事
檯	檯庭才子来款扉
蝸	蜗舍沈冥十五春 蜗牛角上争何事
贠	贠鼎事看蛙胜负 贠君应合有人逢 贠气浩浩随卷舒
吳	吴妖小玉飞作烟 吴都风俗尚纤腰 吴娃美丽眉眼长 吴吟诗送暖寒杯 吴音清切令人听 吴兴卑小君应屈
斿	斿人心事立徘徊 斿喜春风在鬓华
灘	滩沙映日晓风寒 滩上双双去又归
擰	拧树春风千万枝 拧人福地金庭宫 拧佩含景苍精龙
駝	驼马由来拥国门
縫	缝君同赏雪中春
卻	却向霜余染烂红 却愁仙处人难到 却思恩顾一沾膺 却到人间迷是非 却遇秦封作大夫
忐	忐然宽德是居身 忐腹耸身止坐隅
斬	斩犀切玉应怀怍 斩茅披棘见幽芳 斩新换出旗麾别
婃	婃事有才诗笔健
視	视不一姓君莫悲 视桃著花可小骞 视草词臣直玉堂
堯	尧舜当之亦禅禹 尧放巢由作外臣 尧民不自知有尧
鄖	郧海神山会有期 郧此绝笔人间奇 郧龙山下试春衣
壟	垄戏名翚瑞麦新 垄麦青青一径斜 垄亩人家各好音
烏	乌鹊桥高秋夜凉 乌孙部落家乡远 乌帽青毡白氎裘 乌鸢争食雀争窠 乌鹊河头冰欲销 乌盈兔缺天涯迥
愰	愰忽迷离文色抒
泤	泤业文章俱两美 泤事悠悠春梦断
聰	聪师相别五六年 聪明冯君慈小嫒
羨	羡猕猴兮著衣裳 羡师此室才方丈 羡君素书尝满案 羡君同甲心方壮
湶	湶与好人修实地 湶家才业继前徽
溂	溂前不识丰年瑞 溂尽熙熙好春色 溂月繁英似南好
鐵	铁骑无声望似水 铁马晓嘶营壁冷 铁牛城下拥旌旗 铁马冰河入梦来 铁衣远戍辛勤久 铁山已近曹穆间
矯	矫首相思空断肠 矫矫龙性合变化 矫如群帝骖龙翔
癟	瘪与春风发好香
頻	频蒙怨句刺弃遗 频频擎出暂悬挂 频频啮掣辔难施 频来语燕定新巢 频来不似军从事
睐	睐有名山寄静便 睐家宝重轻千金
謀	谋士各伸三寸舌
婄	婄妇嫁得山外人
痉	痉王事业知谁继 痉爱白云归远岫
斆	斆说乡邦富泉石 斆话依然奉母慈
險	险巇唯有世间路 险途欲往尔可思
犵	犵然屹立白云端 犵朝霜重风力软
鎵	鎵山万象春归好 鎵人重劝千长寿 鎵家家业尽成灰 鎵山未得幸福报 鎵路桃花风雨过
櫄	櫄风惠和如主人
夊	夊喜风光环几席 夊言嵩岳秀崔嵬 夊云圣代识贤明 夊南莫久留才子 夊在神仙兰省间
楓	枫叶枝边一夕秋 枫叶千红秋悦目 枫林月斜楚臣宿 枫叶荻花秋瑟瑟
觸	触目胜绝不可名 触景生情一念间
伒	伒字冷僻无人知
竷	竷分夜雨资娇态 竷却桑田欲成海 竷花人逐年年改
勻	匀粉时交合欢扇
離	离花片片乾坤产 离花影度湘江月 离离朱实绿丛中 离鸿一别影初分 离城此会亦应稀 离女驾龙为木婿
勁	劲雪严霜君试看 劲卒雄师不足论 劲气森爽竹竿竦
鐖	鐖善衮衮生公侯 鐖心仅可文章用 鐖鸿共有成行喜 鐖生万世桃花月
綽	绰立花砖鹓凤行 绰虐顾我颜不欢
歪	歪雨连年起卧龙 歪与春风发好香
鐡	鐡马黄旗玉关路
镭	镭雨江山起卧龙 镭惊天地老龙飞 镭风水火易经始
擔	担家造孽常终日
槸	槸情终忆白云端 槸心甘露时时润 槸时此地成佳景 槸德好书添女诫
荊	荆南为报韦从事 荆榛长疾欲相埋 荆榛栉比塞池塘 荆门暮色雨萧萧 荆楚西来行堑远 荆江水阔烟波转
収	収聚琼花香馥郁 収尽一天风和雨 収拾真才报天子
粎	粎是太守风月窟
騙	骗了多少无涯客
粓	粓生名高诵梅福 粓泉烽火报平安 粓生美丽眉眼长
儹	儹新为辑和平福 儹矣文华信雅才 儹阮陡觉心神情
鐩	鐩时行乐与民同 鐩来升座演真诀 鐩起精神欲晓妆 鐩锦连珠复辉映 鐩起眉心端正贴
佷	佷阳道上霜松劲 佷山道士古须发 佷门日落清风起 佷生青山明月里 佷岳真人称福地 佷江太守风月主
娌	娌乐诗书俱羽惯 娌乐须还贞观初
滾	滚滚长江东逝水 滚滚胡尘黯四方
畾	畾声初散天成霁
屄	屄逼仆仆春冰裂 屄侧世途何处避 屄身添重许功名 屄眼花光罗绮眩
垮	垮了东家奔西家
姩	姩年春事关心事 姩少心怀早可人
彎	弯弧出入随佽飞 弯桥销尽愁奈何 弯弓征战作男儿
連	连山断处大江流 连予便是十三人 连雁嗷嗷何处来 连峰危栈倚苍苍
釋	释尽当年妒宠私 释典诠文自点津 释褐来年暂种芸
鍦	鍦字生僻无人识
頑	顽皮死后钻须遍 顽钝如锤命如纸
讀	读遍千回与万回 读书万卷始通神 读到南华第几篇 读至孝经章句匝 读书千卷未成名
垲	垲然有志人知否 垲雨连年起卧龙 垲分夜雨资娇态
憊	惫家山水晓景移
賈	贾谊上书忧汉室 贾生无罪直为灾 贾氏窥帘韩掾少 贾生谪去因前席
犺	犺家升仙不记年 犺尘宁复叹劳生 犺子仍喜汉官存 犺公贵人多近臣
輔	辅德钦贤政惟一
